person_id,人名,显示名,字或号,正式称号,建议文件名
chenze,陈则,,,大同府知府,portrait_chenze.png
chenzhi,陈志,,,遂安伯,portrait_chenzhi.png
chenzhong,陈忠,,,都指挥同知,portrait_chenzhong.png
chenzhuang,陈壮,,,尚书,portrait_chenzhuang.png
chenzilong,陈子龙,,卧子,文学家,portrait_chenzilong.png
chenzizhuang,陈子壮,,集生,东阁大学士兼兵部尚书,portrait_chenzizhuang.png
chenzubao,陈祖苞,,,顺天巡抚,portrait_chenzubao.png
chenzuo,陈祚,,,河南布政使司参议,portrait_chenzuo.png
chongdegongzhu,崇德公主,,,崇德公主,portrait_chongdegongzhu.png
chongqinggongzhu,重庆公主,,,重庆公主,portrait_chongqinggongzhu.png
choucheng,仇成,,,统军大元帅,portrait_choucheng.png
chouyue,仇钺,,,咸宁伯,portrait_chouyue.png
chunangongzhu,淳安公主,,,淳安公主,portrait_chunangongzhu.png
chuquan,储巏,,,郎中,portrait_chuquan.png
chuzhi,楚智,,,都指挥使,portrait_chuzhi.png
conglan,丛兰,,,南京工部尚书,portrait_conglan.png
cuichengxiu,崔呈秀,,钟岳,兵部尚书,portrait_cuichengxiu.png
cuigong,崔恭,,,吏部尚书,portrait_cuigong.png
cuijingrong,崔景荣,,,巡抚,portrait_cuijingrong.png
cuiju,崔聚,,,左军都督,portrait_cuiju.png
cuiruxiu,崔儒秀,,,补绛州知州,portrait_cuiruxiu.png
cuitong,崔桐,,,太常寺少卿,portrait_cuitong.png
cuixi,崔铣,,,宦官,portrait_cuixi.png
daideru,戴德孺,,,历官工部员外郎,portrait_daideru.png
daideyi,戴德彝,,,监察御史,portrait_daideyi.png
daiguan,戴冠,,,河南承宣布政使,portrait_daiguan.png
dailun,戴纶,,,兵部侍郎,portrait_dailun.png
daishan,戴珊,,,右副都御史,portrait_daishan.png
daishiheng,戴士衡,,,南京工部尚书,portrait_daishiheng.png
daixi,戴铣,,,兵科给事中,portrait_daixi.png
daluyuquan,答禄与权,,,御史,portrait_daluyuquan.png
daminggongzhu,大名公主,,,大名公主,portrait_daminggongzhu.png
dananren,单安仁,,,按察使,portrait_dananren.png
daohuaiwang,悼怀王,,,悼怀王,portrait_daohuaiwang.png
daotong,道同,,,同进士,portrait_daotong.png
datongbingbian,大同兵变,,,总兵,portrait_datongbingbian.png
dayun,达云,,腾霄,都督,portrait_dayun.png
deangongzhu,德安公主,,,德安公主,portrait_deangongzhu.png
dengfanxi,邓藩锡,,,的举人,portrait_dengfanxi.png
dengjiceng,邓继曾,,,正德进士,portrait_dengjiceng.png
dengqi,邓棨,,,右副都御史,portrait_dengqi.png
dengtingzan,邓廷瓒,,宗器,都察院左都御史,portrait_dengtingzan.png
dengyizan,邓以赞,,,翰林院编修,portrait_dengyizan.png
dengyu,邓愈,,伯颜,卫国公,portrait_dengyu.png
dengyuanxi,邓元锡,,,嘉靖三十四年乙卯科举人,portrait_dengyuanxi.png
dengzilong,邓子龙,,,参将,portrait_dengzilong.png
deqinggongzhu,德清公主,,,德清公主,portrait_deqinggongzhu.png
difengchong,翟凤翀,,,丘县等知县,portrait_difengchong.png
diluan,翟銮,,,礼部尚书谨身殿大学士,portrait_diluan.png
dingbin,丁宾,,,监察御史,portrait_dingbin.png
dingcilv,丁此吕,,,丁丑科进士,portrait_dingcilv.png
dingdexing,丁德兴,,,济国公,portrait_dingdexing.png
dingji,丁积,,,广东新会县知县,portrait_dingji.png
dingqirui,丁启睿,,性如,督师,portrait_dingqirui.png
dingtaiyun,丁泰运,,,山西承宣布政使,portrait_dingtaiyun.png
